Street,Neighborhood,City,Size,Bedrooms,Bathrooms,Vacancies,Advertisement_Value,Square_Meter_Value,just_street,street,zip_code,latitude,longitude,Point,setor_censo
"Rua Andrade Neves, 37 ",Bela Aliança,São Paulo,502,4,6,4,2985000.0,2452.830188679245,rua andrade neves,rua andrade neves,17515400.0,-22.206355,-49.9358848,POINT (-49.9358848 -22.206355),
Rua Japeacaba,Vila Albertina,São Paulo,268,3,6,4,1700000.0,6046.511627906977,rua japeacaba,rua japeacaba,2373050.0,-23.4540005,-46.6185781,POINT (-46.6185781 -23.4540005),355030881000047.0
Rua Senador Vergueiro,Santo Amaro,São Paulo,355,4,7,4,3100000.0,4166.666666666667,rua senador vergueiro,rua senador vergueiro,13061212.0,-22.9119136,-47.1117327,POINT (-47.1117327 -22.9119136),
Rua dos Plátanos,Cidade Jardim,São Paulo,1195,4,4,6,8700000.0,5520.0,rua dos plátanos,rua dos plátanos,13064764.0,-22.9058338,-47.0663981,POINT (-47.0663981 -22.9058338),
,Parque da Lapa,São Paulo,220,4,4,3,849000.0,2591.6230366492146,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
"Rua Domingos Menezes, 179 ",Vila Libanesa,São Paulo,320,5,4,6,890000.0,4575.16339869281,rua domingos menezes,rua domingos menezes,3738060.0,-23.5064801,-46.5064568,POINT (-46.5064568 -23.5064801),355030818000068.0
Rua Manuel Monteiro,Cidade Domitila,São Paulo,180,3,3,4,550000.0,3180.8318264014465,rua manuel monteiro,rua manuel monteiro,4387150.0,-23.664646,-46.6498621,POINT (-46.6498621 -23.664646),355030838000301.0
Rua Serra da Sentinela,Vila Nova Savoia,São Paulo,325,4,6,3,1650000.0,5054.99001996008,rua serra da sentinela,rua serra da sentinela,3531050.0,-23.5407586,-46.5191101,POINT (-46.5191101 -23.5407586),355030891000009.0
Avenida Maria Estela,Jardim Maria Estela,São Paulo,110,2,1,1,445000.0,5926.227040048178,avenida maria estela,avenida maria estela,4180010.0,-23.6367964,-46.5965325,POINT (-46.5965325 -23.6367964),355030868000021.0
"Rua Professor Ciro Formicola, 203 ",Parque São Rafael,São Paulo,125,2,1,2,425000.0,8766.040515653774,rua professor ciro formicola,rua professor ciro formicola,8311240.0,-23.6299494,-46.4702523,POINT (-46.4702523 -23.6299494),355030875000015.0
"Rua Elias Gannam, 53 ",Vila Bandeirantes,São Paulo,120,2,3,2,500000.0,3119.5530726256984,rua elias gannam,rua elias gannam,2552040.0,-23.4975216,-46.6648798,POINT (-46.6648798 -23.4975216),355030850000059.0
"Rua Zacarias de Gois, 431 ",Parque Colonial,São Paulo,138,3,1,3,1060000.0,2959.093769666457,rua zacarias de gois,rua zacarias de gois,4610000.0,-23.6303116,-46.6782013,POINT (-46.6782013 -23.6303116),355030815000045.0
Rua Gregório Paes de Almeida,Vila Madalena,São Paulo,401,5,9,4,3890000.0,6410.25641025641,rua gregório paes de almeida,rua gregório paes de almeida,5450000.0,-23.5472107,-46.707677,POINT (-46.707677 -23.5472107),355030802000001.0
