Street,Neighborhood,City,Size,Bedrooms,Bathrooms,Vacancies,Advertisement_Value,Square_Meter_Value,just_street,street,zip_code,latitude,longitude,Point,setor_censo
"Rua Filipe de Gusmão, 158 ",Sumarezinho,São Paulo,125,3,3,1,905000.0,,rua filipe de gusmão,rua filipe de gusmão,5441100.0,-23.5447419,-46.6966232,POINT (-46.6966232 -23.5447419),355030802000072.0
Rua José do Patrocínio,Aclimação,São Paulo,155,3,2,2,930000.0,,rua josé do patrocínio,rua josé do patrocínio,13471090.0,-22.7314728,-47.3422528,POINT (-47.3422528 -22.7314728),
Rua Stefan Marek Neuding,Jardim Sílvia (Zona Oeste),São Paulo,627,4,6,6,5000000.0,,rua stefan marek neuding,rua stefan marek neuding,5678030.0,-23.5980317,-46.7059669,POINT (-46.7059669 -23.5980317),355030854000126.0
,Jardim Leonor,São Paulo,394,3,5,5,1690000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Largo Nossa Senhora da Conceição,Cambuci,São Paulo,180,3,1,2,1080000.0,,largo nossa senhora da conceição,largo nossa senhora da conceição,1528060.0,-23.5641729,-46.6289778,POINT (-46.6289778 -23.5641729),355030849000020.0
Rua Professor Miguel Maurício da Rocha,Brooklin,São Paulo,700,4,6,6,4200000.0,,rua professor miguel maurício da rocha,rua professor miguel maurício da rocha,4622030.0,-23.6355168,-46.6740821,POINT (-46.6740821 -23.6355168),355030815000116.0
Rua Bacopari,Boaçava,São Paulo,256,3,4,3,3250000.0,,rua bacopari,rua bacopari,5470030.0,-23.540525,-46.7241691,POINT (-46.7241691 -23.540525),355030802000061.0
,Jardim Morumbi,São Paulo,600,5,6,5,5800000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
"Rua General Bagnuolo, 173 ",Quinta da Paineira,São Paulo,246,3,3,2,650000.0,,rua general bagnuolo,rua general bagnuolo,3152130.0,-23.5934099,-46.5799594,POINT (-46.5799594 -23.5934099),355030893000026.0
,Alto de Pinheiros,São Paulo,543,4,5,4,9500000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
"Rua Leônidas Freire, 206 ",Vila Liviero,São Paulo,285,6,5,3,750000.0,,rua leônidas freire,rua leônidas freire,4185170.0,-23.6449601,-46.5913803,POINT (-46.5913803 -23.6449601),355030868000171.0
Rua Doutor Manoel Maria Tourinho,Pacaembu,São Paulo,427,4,4,1,2500000.0,,rua doutor manoel maria tourinho,rua doutor manoel maria tourinho,1236000.0,-23.5435701,-46.6671718,POINT (-46.6671718 -23.5435701),355030860000129.0
Avenida Moaci,Planalto Paulista,São Paulo,200,4,5,1,1650000.0,,avenida moaci,avenida moaci,4083000.0,-23.6115591,-46.6636981,POINT (-46.6636981 -23.6115591),355030832000129.0
Rua Maria Carolina,Jardim Paulistano,São Paulo,605,3,5,4,9500000.0,,rua maria carolina,rua maria carolina,7153390.0,-23.3801249,-46.4510154,POINT (-46.4510154 -23.3801249),
,Indianópolis,São Paulo,202,3,5,3,1570000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Jabebira,Jardim Everest,São Paulo,755,5,9,4,8000000.0,,rua jabebira,rua jabebira,5602020.0,-23.5815965,-46.7032896,POINT (-46.7032896 -23.5815965),355030854000121.0
,Jardim América,São Paulo,1200,4,4,7,25600000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Praça Cecília Perigo Saldiva,Alto de Pinheiros,São Paulo,420,3,3,3,6800000.0,,praça cecília perigo saldiva,praça cecília perigo saldiva,5458080.0,-23.554897,-46.7017643,POINT (-46.7017643 -23.554897),355030802000038.0
"Rua Leão XIII, 1 ",Jardim São Bento,São Paulo,267,3,5,4,1350000.0,,rua leão xiii,rua leão xiii,11500120.0,-23.8848726,-46.4180526,POINT (-46.4180526 -23.8848726),
"Rua Doutor João Neves Neto, 516 ",Jardim Guedala,São Paulo,380,3,5,3,2400000.0,,rua doutor joão neves neto,rua doutor joão neves neto,5605000.0,-23.5919115,-46.7051343,POINT (-46.7051343 -23.5919115),355030854000003.0
Rua Bragança,Pacaembu,São Paulo,400,4,1,5,3500000.0,,rua bragança,rua bragança,13604014.0,-22.3480084,-47.3820518,POINT (-47.3820518 -22.3480084),
Rua Doutor Félix,Aclimação,São Paulo,250,3,4,1,1400000.0,,rua doutor félix,rua doutor félix,1533030.0,-23.5691191,-46.6378374,POINT (-46.6378374 -23.5691191),355030849000102.0
,Jardim Guedala,São Paulo,1300,5,7,6,5900000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
"Rua Simão Machado, 101, Apto 07 ",Tucuruvi,São Paulo,90,2,2,2,460000.0,,rua simão machado,rua simão machado,2303070.0,-23.4803898,-46.6088182,POINT (-46.6088182 -23.4803898),355030882000020.0
Rua Urbanizadora,Sumaré,São Paulo,250,3,3,4,2900000.0,,rua urbanizadora,rua urbanizadora,1252040.0,-23.5408243,-46.6801006,POINT (-46.6801006 -23.5408243),355030860000014.0
Rua Santos Dumont,Jardim Petrópolis,São Paulo,567,4,3,4,3490000.0,,rua santos dumont,rua santos dumont,16900061.0,-20.9053701,-51.3839025,POINT (-51.3839025 -20.9053701),
,Jardim Santo Amaro,São Paulo,120,2,2,4,800000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
,Vila Cordeiro,São Paulo,83,2,3,1,480000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Bailique,Jardim Textil,São Paulo,170,3,3,3,1200000.0,,rua bailique,rua bailique,3415050.0,-23.559661,-46.54464,POINT (-46.54464 -23.559661),355030885000075.0
Rua das Begônias,Cidade Jardim,São Paulo,456,5,4,7,2200000.0,,rua das begônias,rua das begônias,13467203.0,-22.7648586,-47.3404414,POINT (-47.3404414 -22.7648586),
Rua Padre Madureira,Jardim Guedala,São Paulo,1400,5,8,6,12000000.0,,rua padre madureira,rua padre madureira,5612060.0,-23.5904296,-46.7071424,POINT (-46.7071424 -23.5904296),355030854000002.0
,Parque Continental,São Paulo,165,3,3,1,560000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Itatiba,Pacaembu,São Paulo,513,4,7,12,5500000.0,,rua itatiba,rua itatiba,13904535.0,-22.8057991,-46.7553153,POINT (-46.7553153 -22.8057991),
"Rua Taguató, 0 ",Vila Fernandes,São Paulo,180,5,4,3,450000.0,,rua taguató,rua taguató,3433060.0,-23.5580503,-46.5351969,POINT (-46.5351969 -23.5580503),355030820000036.0
Rua Engenheiro Janot Pacheco,Vila Progredior,São Paulo,342,4,6,7,2990000.0,,rua engenheiro janot pacheco,rua engenheiro janot pacheco,5617100.0,-23.594031,-46.7170698,POINT (-46.7170698 -23.594031),355030854000017.0
Rua João Batista Leme da Silva,Vila Madalena,São Paulo,174,4,4,2,1219000.0,,rua joão batista leme da silva,rua joão batista leme da silva,5449030.0,-23.544809,-46.7023131,POINT (-46.7023131 -23.544809),355030802000010.0
,Cidade Centenário,São Paulo,180,2,3,2,600000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Avenida das Magnólias,Cidade Jardim,São Paulo,308,5,5,4,2500000.0,,avenida das magnólias,avenida das magnólias,5674000.0,-23.5931626,-46.6964356,POINT (-46.6964356 -23.5931626),355030854000128.0
Alameda dos Camaiurás,Planalto Paulista,São Paulo,820,6,3,6,2990000.0,,alameda dos camaiurás,alameda dos camaiurás,4061020.0,-23.6075033,-46.6515171,POINT (-46.6515171 -23.6075033),355030877000127.0
,Cidade Jardim,São Paulo,589,4,5,6,4000000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Professor Luciano Gualberto,Jardim Morumbi,São Paulo,605,4,8,10,5000000.0,,rua professor luciano gualberto,rua professor luciano gualberto,5655010.0,-23.5571575,-46.7329177,POINT (-46.7329177 -23.5571575),355030812000038.0
Rua Maurício de Castilho,Vila Monumento,São Paulo,300,3,5,3,2600000.0,,rua maurício de castilho,rua maurício de castilho,4264020.0,-23.5849199,-46.6134501,POINT (-46.6134501 -23.5849199),355030834000042.0
Avenida Lopes de Azevedo,Jardim Guedala,São Paulo,1820,5,8,10,12000000.0,,avenida lopes de azevedo,avenida lopes de azevedo,5603000.0,-23.5844687,-46.7041799,POINT (-46.7041799 -23.5844687),355030854000123.0
Rua Afonso Ferreira,Jardim Paulista,São Paulo,550,4,7,4,12000000.0,,rua afonso ferreira,rua afonso ferreira,4503050.0,-23.5832181,-46.6653363,POINT (-46.6653363 -23.5832181),355030832000067.0
Rua Alberto Faria,Alto de Pinheiros,São Paulo,383,5,7,5,5290000.0,,rua alberto faria,rua alberto faria,13073014.0,-22.8886436,-47.0642473,POINT (-47.0642473 -22.8886436),
Rua Professor Carlos Zagotis,Tatuapé,São Paulo,200,3,3,2,950000.0,,rua professor carlos zagotis,rua professor carlos zagotis,3314020.0,-23.5398675,-46.5694076,POINT (-46.5694076 -23.5398675),355030880000020.0
Rua Doutor Abílio Martins de Castro,Jardim Marajoara,São Paulo,710,3,3,4,2500000.0,,rua doutor abílio martins de castro,rua doutor abílio martins de castro,4663110.0,-23.6529568,-46.6836399,POINT (-46.6836399 -23.6529568),355030816000101.0
,Jaguaré,São Paulo,220,4,4,3,1095000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Machado de Assis,Vila Mariana,São Paulo,285,3,5,4,2150000.0,,rua machado de assis,rua machado de assis,13465581.0,-22.7420696,-47.3436003,POINT (-47.3436003 -22.7420696),
"Avenida Professor Fonseca Rodrigues, 706 ",Alto de Pinheiros,São Paulo,500,4,5,4,6863720.0,,avenida professor fonseca rodrigues,avenida professor fonseca rodrigues,5461010.0,-23.5486066,-46.714834,POINT (-46.714834 -23.5486066),355030802000016.0
,Alto de Pinheiros,São Paulo,360,4,6,4,5800000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Iraúna,Jardim Novo Mundo,São Paulo,300,3,3,3,1990000.0,,rua iraúna,rua iraúna,18682341.0,-22.6177636,-48.8006019,POINT (-48.8006019 -22.6177636),
Rua Afonso Bandeira de Melo,Campo Belo,São Paulo,210,3,1,2,1100000.0,,rua afonso bandeira de melo,rua afonso bandeira de melo,4613060.0,-23.621496,-46.6658772,POINT (-46.6658772 -23.621496),355030815000055.0
,Vila Olímpia,São Paulo,160,3,5,3,2900000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
,Alto de Pinheiros,São Paulo,730,4,6,10,7800000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Almirante Soares Dutra,Morumbi,São Paulo,408,3,5,4,3400000.0,,rua almirante soares dutra,rua almirante soares dutra,5654000.0,-23.6058856,-46.7157497,POINT (-46.7157497 -23.6058856),355030854000015.0
"Rua Moisés Anaute, 0 ",Jardim Odete,São Paulo,220,3,5,4,1030000.0,,rua moisés anaute,rua moisés anaute,5363030.0,-23.5753029,-46.7439983,POINT (-46.7439983 -23.5753029),355030867000224.0
,Jardim Paulistano,São Paulo,630,4,9,7,14000000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Açaraí,Jardim Guedala,São Paulo,497,3,4,4,3000000.0,,rua açaraí,rua açaraí,5608040.0,-23.5828653,-46.708475,POINT (-46.708475 -23.5828653),355030854000008.0
,Jardim Miriam,São Paulo,400,5,5,4,1950000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Grécia,Jardim Europa,São Paulo,203,3,1,2,3100000.0,,rua grécia,rua grécia,13471721.0,-22.728491,-47.3436515,POINT (-47.3436515 -22.728491),
Rua Padre Madureira,Jardim Guedala,São Paulo,551,4,8,8,5000000.0,,rua padre madureira,rua padre madureira,5612060.0,-23.5904296,-46.7071424,POINT (-46.7071424 -23.5904296),355030854000002.0
,Vila Oratório,São Paulo,93,3,1,1,531000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua da Independência,Cambuci,São Paulo,170,3,2,1,500000.0,,rua da independência,rua da independência,9910150.0,-23.6953174,-46.5830947,POINT (-46.5830947 -23.6953174),
Rua General Sena Vasconcelos,Jardim Guedala,São Paulo,352,4,4,3,3600000.0,,rua general sena vasconcelos,rua general sena vasconcelos,5611010.0,-23.5845903,-46.7137324,POINT (-46.7137324 -23.5845903),355030854000006.0
Rua Ministro Ferreira Alves,Perdizes,São Paulo,147,3,2,1,760000.0,,rua ministro ferreira alves,rua ministro ferreira alves,5009060.0,-23.5300201,-46.6849127,POINT (-46.6849127 -23.5300201),355030860000091.0
,City América,São Paulo,446,4,4,5,2100000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
,Vila Albertina,São Paulo,181,3,1,2,700000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Alberto Hodge,Santo Amaro,São Paulo,880,4,5,3,3500000.0,,rua alberto hodge,rua alberto hodge,4740020.0,-23.6424159,-46.6901265,POINT (-46.6901265 -23.6424159),355030871000123.0
Rua do Minho,Jardim Luzitânia,São Paulo,436,4,4,3,5500000.0,,rua do minho,rua do minho,4031130.0,-23.5940408,-46.6594298,POINT (-46.6594298 -23.5940408),355030832000002.0
,Vila Madalena,São Paulo,473,4,5,5,3600000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Castro Delgado,Alto de Pinheiros,São Paulo,357,4,5,4,6400000.0,,rua castro delgado,rua castro delgado,5465010.0,-23.5533711,-46.715689,POINT (-46.715689 -23.5533711),355030802000041.0
,Vila Mariana,São Paulo,161,3,3,3,1200000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Cordisburgo,Jardim Leonor,São Paulo,800,4,6,6,3700000.0,,rua cordisburgo,rua cordisburgo,5614090.0,-23.5949294,-46.7133299,POINT (-46.7133299 -23.5949294),355030854000005.0
Rua Alberto Faria,Alto de Pinheiros,São Paulo,355,3,3,3,3150000.0,,rua alberto faria,rua alberto faria,13073014.0,-22.8886436,-47.0642473,POINT (-47.0642473 -22.8886436),
"Rua Arizona, 0 ",Cidade Monções,São Paulo,155,3,1,2,1779990.0,,rua arizona,rua arizona,6820470.0,-23.6592439,-46.7987361,POINT (-46.7987361 -23.6592439),
Praça Santos Coimbra,Morumbi,São Paulo,565,3,4,8,3500000.0,,praça santos coimbra,praça santos coimbra,5614050.0,-23.5946673,-46.7142119,POINT (-46.7142119 -23.5946673),355030854000017.0
Rua Iraúna,Indianópolis,São Paulo,155,2,2,4,1400000.0,,rua iraúna,rua iraúna,18682341.0,-22.6177636,-48.8006019,POINT (-48.8006019 -22.6177636),
Rua Soares de Barros,Itaim Bibi,São Paulo,155,3,2,2,2300000.0,,rua soares de barros,rua soares de barros,4538060.0,-23.5897336,-46.6799566,POINT (-46.6799566 -23.5897336),355030835000060.0
Rua Zacarias de Gois,Parque Colonial,São Paulo,195,3,2,8,2000000.0,,rua zacarias de gois,rua zacarias de gois,4610000.0,-23.6303116,-46.6782013,POINT (-46.6782013 -23.6303116),355030815000045.0
Rua Comendador Elias Jafet,Jardim Leonor,São Paulo,498,4,4,6,2900000.0,,rua comendador elias jafet,rua comendador elias jafet,5653000.0,-23.6019997,-46.7147264,POINT (-46.7147264 -23.6019997),355030854000016.0
,Jardim Luzitânia,São Paulo,455,3,5,3,5400000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Tefé,Sumaré,São Paulo,335,4,4,4,3700000.0,,rua tefé,rua tefé,11446100.0,-23.9402638,-46.184579,POINT (-46.184579 -23.9402638),
Rua Roteiro,Vila Inah,São Paulo,665,4,8,5,6900000.0,,rua roteiro,rua roteiro,5620080.0,-20.933333,-51.15,POINT (-51.15 -20.933333),
Rua Sílvio Portugal,Pacaembu,São Paulo,875,7,1,6,3200000.0,,rua sílvio portugal,rua sílvio portugal,1247060.0,-23.5492127,-46.6695746,POINT (-46.6695746 -23.5492127),355030826000019.0
Rua Carataca,Vila Gustavo,São Paulo,115,2,3,1,590000.0,,rua carataca,rua carataca,2266020.0,-23.4801051,-46.6013132,POINT (-46.6013132 -23.4801051),355030882000004.0
"Rua Domingos Augusto Setti, 36 ",Jardim Vila Mariana,São Paulo,215,4,5,4,2100000.0,,rua domingos augusto setti,rua domingos augusto setti,4116070.0,-23.5937416,-46.6272723,POINT (-46.6272723 -23.5937416),355030890000086.0
Rua Doutor Rubens de Azevedo Marques,Chácara Monte Alegre,São Paulo,350,5,5,4,2200000.0,,rua doutor rubens de azevedo marques,rua doutor rubens de azevedo marques,4646070.0,-23.6430279,-46.6767923,POINT (-46.6767923 -23.6430279),355030871000115.0
"Rua Itapacurai, 39 ",Paraíso do Morumbi,São Paulo,112,3,2,2,820000.0,,rua itapacurai,rua itapacurai,5705240.0,-23.6259173,-46.7223795,POINT (-46.7223795 -23.6259173),355030883000166.0
Rua Turquia,Pinheiros,São Paulo,845,3,4,6,13900000.0,,rua turquia,rua turquia,13469094.0,-22.7423343,-47.3533949,POINT (-47.3533949 -22.7423343),
Rua Teodoro Ramos,Pacaembu,São Paulo,255,3,3,4,2800000.0,,rua teodoro ramos,rua teodoro ramos,1250020.0,-23.5474824,-46.6705759,POINT (-46.6705759 -23.5474824),355030826000041.0
,Pacaembu,São Paulo,330,3,4,4,2700000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
"Rua Bergamota, 284 ",Alto da Lapa,São Paulo,190,2,2,3,1200000.0,,rua bergamota,rua bergamota,5468000.0,-23.5387617,-46.7167522,POINT (-46.7167522 -23.5387617),355030802000047.0
Rua Antonina,Sumaré,São Paulo,366,3,4,3,3850000.0,,rua antonina,rua antonina,7161340.0,-23.4729051,-46.54102,POINT (-46.54102 -23.4729051),
Rua General Góis Monteiro,Vila Anglo Brasileira,São Paulo,173,4,2,2,1100000.0,,rua general góis monteiro,rua general góis monteiro,5029000.0,-23.541678,-46.6929713,POINT (-46.6929713 -23.541678),355030860000108.0
Rua São Bráulio,Jardim Guedala,São Paulo,600,4,6,4,3500000.0,,rua são bráulio,rua são bráulio,5612080.0,-23.5922009,-46.7077332,POINT (-46.7077332 -23.5922009),355030854000002.0
,Jardim Panorama,São Paulo,481,4,6,4,3500000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Travessa Barreiras,Vila Santo Estéfano,São Paulo,235,3,3,2,530000.0,,travessa barreiras,travessa barreiras,4154110.0,-23.116667,-49.033333,POINT (-49.033333 -23.116667),
Avenida das Magnólias,Cidade Jardim,São Paulo,307,4,5,6,2300000.0,,avenida das magnólias,avenida das magnólias,5674000.0,-23.5931626,-46.6964356,POINT (-46.6964356 -23.5931626),355030854000128.0
Rua Simpatia,Jardim das Bandeiras,São Paulo,339,4,4,4,4340000.0,,rua simpatia,rua simpatia,5436020.0,-23.554781,-46.686421,POINT (-46.686421 -23.554781),355030862000053.0
,Jardim Europa,São Paulo,350,4,2,4,8000000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
,Alto de Pinheiros,São Paulo,560,5,3,4,3100000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua General Mena Barreto,Jardim Paulista,São Paulo,570,4,7,5,11000000.0,,rua general mena barreto,rua general mena barreto,1433010.0,-23.5828939,-46.6699558,POINT (-46.6699558 -23.5828939),355030845000073.0
Rua Tomás Teixeira,Vila Constança,São Paulo,80,2,1,2,430000.0,,rua tomás teixeira,rua tomás teixeira,4658020.0,-23.6702556,-46.6691389,POINT (-46.6691389 -23.6702556),355030822000108.0
,Higienópolis,São Paulo,230,5,3,4,4600000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
"Rua Panapoi, 155 ",Campo Belo,São Paulo,130,2,1,6,1450000.0,,rua panapoi,rua panapoi,4616030.0,-23.6229338,-46.6690805,POINT (-46.6690805 -23.6229338),355030815000108.0
Rua Heitor de Morais,Pacaembu,São Paulo,500,4,5,5,5000000.0,,rua heitor de morais,rua heitor de morais,1237000.0,-23.5442492,-46.6695559,POINT (-46.6695559 -23.5442492),355030860000211.0
,Mirandópolis,São Paulo,300,3,5,3,1599000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Aurelia Perez Alvarez,Jardim dos Estados,São Paulo,370,3,5,4,3672500.0,,rua aurelia perez alvarez,rua aurelia perez alvarez,4642020.0,-23.6409612,-46.6883114,POINT (-46.6883114 -23.6409612),355030871000023.0
Rua Oagy Kalile,Jardim Vitória Régia,São Paulo,700,4,9,4,2780000.0,,rua oagy kalile,rua oagy kalile,5657100.0,-23.6227388,-46.7181051,POINT (-46.7181051 -23.6227388),355030883000171.0
"Rua Suécia, 223 ",Jardim Europa,São Paulo,872,4,5,7,18000000.0,,rua suécia,rua suécia,13471610.0,-22.7250352,-47.338673,POINT (-47.338673 -22.7250352),
Rua Dom Henrique,Jardim Luzitânia,São Paulo,953,4,8,7,25000000.0,,rua dom henrique,rua dom henrique,12310018.0,-23.2989102,-45.9370703,POINT (-45.9370703 -23.2989102),
Rua Capote Valente,Pinheiros,São Paulo,185,3,3,2,2200000.0,,rua capote valente,rua capote valente,13202543.0,-23.200038,-46.878882,POINT (-46.878882 -23.200038),
Rua Padre José Griecco,Cidade Jardim,São Paulo,870,4,9,6,6000000.0,,rua padre josé griecco,rua padre josé griecco,5676090.0,-23.5956715,-46.6969018,POINT (-46.6969018 -23.5956715),355030854000128.0
,Jardim Paulista,São Paulo,600,4,6,3,7500000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Madalena de Morais,Jardim Leonor,São Paulo,800,5,8,6,8000000.0,,rua madalena de morais,rua madalena de morais,5614020.0,-23.5935979,-46.7146047,POINT (-46.7146047 -23.5935979),355030854000083.0
Rua Almirante Soares Dutra,Morumbi,São Paulo,700,3,5,4,3300000.0,,rua almirante soares dutra,rua almirante soares dutra,5654000.0,-23.6058856,-46.7157497,POINT (-46.7157497 -23.6058856),355030854000015.0
Rua General Chagas Santos,Vila da Saúde,São Paulo,250,2,2,1,1020000.0,,rua general chagas santos,rua general chagas santos,4146050.0,-23.617029,-46.6299555,POINT (-46.6299555 -23.617029),355030877000081.0
Rua Professor Gabriel Ortiz,Jardim Guedala,São Paulo,600,4,6,6,3500000.0,,rua professor gabriel ortiz,rua professor gabriel ortiz,5612070.0,-23.5909858,-46.709952,POINT (-46.709952 -23.5909858),355030854000117.0
Rua Primavera,Jardim Paulista,São Paulo,332,4,7,6,5500000.0,,rua primavera,rua primavera,13901320.0,-22.6955869,-46.767514,POINT (-46.767514 -22.6955869),
Rua Marco Aurélio,Vila Romana,São Paulo,200,3,4,2,940000.0,,rua marco aurélio,rua marco aurélio,9260640.0,-23.6329624,-46.4905156,POINT (-46.4905156 -23.6329624),
Rua Professor Henrique Neves Lefevre,Jardim Petrópolis,São Paulo,450,4,5,10,2800000.0,,rua professor henrique neves lefevre,rua professor henrique neves lefevre,4637000.0,-23.6300046,-46.6814092,POINT (-46.6814092 -23.6300046),355030815000046.0
Rua Doutor José de Moura Resende,Caxingui,São Paulo,270,4,4,3,1280000.0,,rua doutor josé de moura resende,rua doutor josé de moura resende,12287650.0,-23.105291,-45.718298,POINT (-45.718298 -23.105291),
Rua Quiçaba,Vila Nova Conceição,São Paulo,150,4,3,2,2500000.0,,rua quiçaba,rua quiçaba,4513040.0,-23.5975169,-46.6707883,POINT (-46.6707883 -23.5975169),355030832000062.0
Rua Rocinha,Bosque da Saúde,São Paulo,195,3,4,2,1800000.0,,rua rocinha,rua rocinha,4127030.0,-23.6009524,-46.6330091,POINT (-46.6330091 -23.6009524),355030877000167.0
Rua Iraci,Jardim Paulistano,São Paulo,375,4,4,3,3600000.0,,rua iraci,rua iraci,11660155.0,-23.6188944,-45.4122061,POINT (-45.4122061 -23.6188944),
Rua Taques Alvim,Cidade Jardim,São Paulo,540,4,6,4,4000000.0,,rua taques alvim,rua taques alvim,5671030.0,-23.5865406,-46.6959291,POINT (-46.6959291 -23.5865406),355030854000009.0
,Jardim Europa,São Paulo,400,3,6,3,6600000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
,Jardim América,São Paulo,310,4,4,2,5000000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Baicuri,Boaçava,São Paulo,600,4,5,3,4500000.0,,rua baicuri,rua baicuri,5469030.0,-23.5406142,-46.7211116,POINT (-46.7211116 -23.5406142),355030802000062.0
,Lapa,São Paulo,350,4,5,8,3200000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Avenida Amarilis,Cidade Jardim,São Paulo,450,4,4,4,3700000.0,,avenida amarilis,avenida amarilis,5673030.0,-23.5927163,-46.7030853,POINT (-46.7030853 -23.5927163),355030854000125.0
,Morumbi,São Paulo,700,4,6,6,4950000.0,,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Áurea,Vila Mariana,São Paulo,196,3,3,2,3000000.0,,rua áurea,rua áurea,6436090.0,-23.5393802,-46.8865079,POINT (-46.8865079 -23.5393802),
Rua Itápolis,Pacaembu,São Paulo,196,3,2,4,1800000.0,,rua itápolis,rua itápolis,16056619.0,-21.1881312,-50.4307023,POINT (-50.4307023 -21.1881312),
Rua Itajaçu,Pacaembu,São Paulo,274,3,5,3,1950000.0,,rua itajaçu,rua itajaçu,1247030.0,-23.551191,-46.6691972,POINT (-46.6691972 -23.551191),355030826000019.0
Rua Alberto Faria,Alto de Pinheiros,São Paulo,372,4,5,6,2500000.0,,rua alberto faria,rua alberto faria,13073014.0,-22.8886436,-47.0642473,POINT (-47.0642473 -22.8886436),
Rua Alberto Willo,Planalto Paulista,São Paulo,450,5,4,3,2130000.0,,rua alberto willo,rua alberto willo,4067040.0,-23.6176819,-46.6543307,POINT (-46.6543307 -23.6176819),355030877000125.0
Rua Principado de Mônaco,Pacaembu,São Paulo,1100,6,10,12,10000000.0,,rua principado de mônaco,rua principado de mônaco,12917010.0,-22.9531705,-46.5423239,POINT (-46.5423239 -22.9531705),
Rua Santo Estácio,Cidade Vargas,São Paulo,120,3,2,2,850000.0,,rua santo estácio,rua santo estácio,4319010.0,-23.6476023,-46.6364655,POINT (-46.6364655 -23.6476023),355030838000092.0
Rua Afonso Ferreira,Jardim Paulista,São Paulo,487,3,3,4,4200000.0,,rua afonso ferreira,rua afonso ferreira,4503050.0,-23.5832181,-46.6653363,POINT (-46.6653363 -23.5832181),355030832000067.0
Rua José Ferreira Guimarães,Vila Progredior,São Paulo,320,4,6,4,2700000.0,,rua josé ferreira guimarães,rua josé ferreira guimarães,5615130.0,-23.5925109,-46.7167432,POINT (-46.7167432 -23.5925109),355030854000083.0
Rua Cássio Martins Vilaça,Pacaembu,São Paulo,278,4,7,4,2890000.0,,rua cássio martins vilaça,rua cássio martins vilaça,1249000.0,-23.5484133,-46.6699715,POINT (-46.6699715 -23.5484133),355030826000019.0
Rua Dom Henrique,Jardim Luzitânia,São Paulo,360,3,3,2,4500000.0,,rua dom henrique,rua dom henrique,12310018.0,-23.2989102,-45.9370703,POINT (-45.9370703 -23.2989102),
